Price;Volume;%Volume;Count;%Count;;;;;;;;;;;
200.00 - 220.00;1.145.749.650;0,28%;5;0,50%;;;;;;;;;;;
180.00 - 200.00;11.093.234.997;2,74%;63;6,28%;;;;;;;;;;;
160.00 - 180.00;10.010.086.142;2,47%;56;5,58%;;;;;;;;;;;
140.00 - 160.00;11.205.031.329;2,77%;55;5,48%;;;;;;;;;;;
120.00 - 140.00;34.765.169.926;8,58%;129;12,86%;;;;;;;;;;;
100.00 - 120.00;30.433.720.202;7,51%;89;8,87%;;;;;;;;;;;
80.00 - 100.00;28.872.787.792;7,13%;61;6,08%;;;;;;;;;;;
60.00 - 80.00;15.708.264.610;3,88%;29;2,89%;;;;;;;;;;;
40.00 - 60.00;72.490.003.220;17,90%;155;15,45%;;;;;;;;;;;
20.00 - 40.00;85.314.380.340;21,06%;168;16,75%;;;;;;;;;;;
0.00 - 20.00;104.011.433.650;25,68%;193;19,24%;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
NVDA.O Statistics     Daily     03-Jan-2022 - 31-Dec-2025;;;;;;;;;;;;;;;
Price;;;Volume;;;;;Up/Down;;Price Change (Close-Close);;;Turnover;;
High;212,19;29-Oct-2025;Max;1.543.910.670;25-May-2023;Advancing;215.989.990.945;Up;537;Up;+24,37%;25-May-2023;Max;104.021.314.941,00;08-Mar-2024
Low;10,81;13-Oct-2022;Min;65.528.545;24-Dec-2025;Declining;188.278.174.673;Down;464;Down;-16,97%;27-Jan-2025;Min;2.745.657.486,00;25-Nov-2022
Avg (Close);79,21;;Avg;403.838.347;;Total;405.049.861.858;Unch;1;Period;+519,17%;03-Jan-2022 - 31-Dec-2025;Avg;24.433.208.002,04;
21-Aug-2025;174,98;-0,42;-0,24%;174,85;173,81;176,90;140.040.850;24.522.175.922,00;1.702.369.055.967,28;;;;;;
20-Aug-2025;175,40;-0,24;-0,14%;175,17;168,80;176,00;215.142.725;37.127.918.236,00;1.726.891.231.889,28;;;;;;
19-Aug-2025;175,64;-6,37;-3,50%;182,43;175,49;182,50;185.229.219;32.930.526.447,00;1.764.019.150.125,28;;;;;;
18-Aug-2025;182,01;+1,56;+0,86%;180,60;180,59;182,94;132.007.959;24.004.185.242,00;1.796.949.676.572,28;;;;;;
15-Aug-2025;180,45;-1,57;-0,86%;181,88;178,04;181,90;156.602.161;28.175.295.754,00;1.772.945.491.330,28;;;;;;
14-Aug-2025;182,02;+0,43;+0,24%;179,75;179,46;183,02;129.553.959;23.548.729.290,00;1.801.120.787.084,28;;;;;;
13-Aug-2025;181,59;-1,57;-0,86%;182,62;179,35;183,97;179.871.724;32.633.670.267,00;1.777.572.057.794,28;;;;;;
12-Aug-2025;183,16;+1,10;+0,60%;182,96;179,46;184,48;145.729.202;26.533.437.540,00;1.810.205.728.061,28;;;;;;
11-Aug-2025;182,06;-0,64;-0,35%;182,05;180,25;183,84;138.323.191;25.249.159.942,00;1.783.672.290.521,28;;;;;;
08-Aug-2025;182,70;+1,93;+1,07%;181,55;180,40;183,30;123.396.679;22.508.952.781,00;1.808.921.450.463,28;;;;;;
07-Aug-2025;180,77;+1,35;+0,75%;181,57;178,80;183,88;151.878.365;27.537.980.435,00;1.786.412.497.682,28;;;;;;
06-Aug-2025;179,42;+1,16;+0,65%;176,33;176,25;179,90;137.192.265;24.489.572.089,00;1.758.874.517.247,28;;;;;;
