NASDAQ 100 Index | Price History                                          07-Mar-2026 19:34;;;;;;;;;;
.NDX History     5 Minutes     07-Mar-2025 21:35 - 06-Mar-2026 05:15;;;;;;;;;;
Exchange Date;Exchange Time;Local Date;Local Time;Close;Net;%Chg;Open;Low;High;Volume
27-Mar-2025;22.30;27-Mar-2025;22.30;19.937,55;-21,88;-0,11%;19.959,43;19.937,55;19.965,96;1.734.803
27-Mar-2025;22.25;27-Mar-2025;22.25;19.959,43;-8,78;-0,04%;19.968,14;19.946,59;19.969,92;1.847.978
27-Mar-2025;22.20;27-Mar-2025;22.20;19.968,21;+2,44;+0,01%;19.966,41;19.947,87;19.969,29;2.095.197
27-Mar-2025;22.15;27-Mar-2025;22.15;19.965,77;+10,18;+0,05%;19.955,24;19.952,21;19.975,68;1.936.103
27-Mar-2025;22.10;27-Mar-2025;22.10;19.955,59;-24,02;-0,12%;19.979,61;19.954,67;19.986,56;1.940.333
27-Mar-2025;22.05;27-Mar-2025;22.05;19.979,61;-16,84;-0,08%;19.996,67;19.972,43;19.998,64;2.305.948
27-Mar-2025;22.00;27-Mar-2025;22.00;19.996,45;+6,10;+0,03%;19.990,72;19.979,49;20.003,36;2.699.215
27-Mar-2025;21.55;27-Mar-2025;21.55;19.990,35;+41,10;+0,21%;19.948,76;19.939,29;19.990,35;2.884.217
27-Mar-2025;21.50;27-Mar-2025;21.50;19.949,25;-16,90;-0,08%;19.966,42;19.948,34;19.973,57;2.576.862
27-Mar-2025;21.45;27-Mar-2025;21.45;19.966,15;+8,31;+0,04%;19.957,63;19.947,40;19.975,09;2.751.839
27-Mar-2025;21.40;27-Mar-2025;21.40;19.957,85;+24,42;+0,12%;19.933,36;19.930,96;19.969,74;3.341.026
27-Mar-2025;21.35;27-Mar-2025;21.35;19.933,43;+10,22;+0,05%;19.922,80;19.915,06;19.934,26;2.734.792
27-Mar-2025;21.30;27-Mar-2025;21.30;19.923,21;+52,32;+0,26%;19.870,75;19.867,25;19.923,46;2.407.986
27-Mar-2025;21.25;27-Mar-2025;21.25;19.870,89;-22,89;-0,12%;19.893,78;19.854,57;19.896,74;1.988.798
27-Mar-2025;21.20;27-Mar-2025;21.20;19.893,78;+3,54;+0,02%;19.891,15;19.869,46;19.895,80;2.184.509
27-Mar-2025;21.15;27-Mar-2025;21.15;19.890,24;+31,74;+0,16%;19.858,45;19.830,34;19.894,78;3.097.819
27-Mar-2025;21.10;27-Mar-2025;21.10;19.858,50;-25,85;-0,13%;19.883,38;19.844,09;19.891,95;3.223.493
27-Mar-2025;21.05;27-Mar-2025;21.05;19.884,35;+11,70;+0,06%;19.868,27;19.868,27;19.900,58;3.071.020
27-Mar-2025;21.00;27-Mar-2025;21.00;19.872,66;+15,25;+0,08%;19.859,31;19.859,31;19.885,97;3.345.170
27-Mar-2025;20.55;27-Mar-2025;20.55;19.857,41;+41,12;+0,21%;19.817,65;19.807,09;19.869,86;4.293.461
27-Mar-2025;20.50;27-Mar-2025;20.50;19.816,28;+39,56;+0,20%;19.778,40;19.764,08;19.819,77;4.353.583
27-Mar-2025;20.45;27-Mar-2025;20.45;19.776,72;+21,33;+0,11%;19.755,39;19.740,22;19.777,00;5.950.559
27-Mar-2025;20.40;27-Mar-2025;20.40;19.755,39;-42,48;-0,21%;19.797,87;19.746,85;19.801,74;6.752.232
27-Mar-2025;20.35;27-Mar-2025;20.35;19.797,87;-119,12;-0,60%;19.814,61;19.776,38;19.866,01;21.580.755
26-Mar-2025;04.15;27-Mar-2025;04.15;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;35.446
26-Mar-2025;04.10;27-Mar-2025;04.10;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;21.541
26-Mar-2025;04.05;27-Mar-2025;04.05;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;55.111
26-Mar-2025;04.00;27-Mar-2025;04.00;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;38.146
26-Mar-2025;03.55;27-Mar-2025;03.55;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;36.876
26-Mar-2025;03.50;27-Mar-2025;03.50;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;35.870
26-Mar-2025;03.45;27-Mar-2025;03.45;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;38.027
26-Mar-2025;03.40;27-Mar-2025;03.40;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;58.182
26-Mar-2025;03.35;27-Mar-2025;03.35;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;72.403
26-Mar-2025;03.30;27-Mar-2025;03.30;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;40.650
26-Mar-2025;03.25;27-Mar-2025;03.25;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;39.653
26-Mar-2025;03.20;27-Mar-2025;03.20;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;53.387
26-Mar-2025;03.15;27-Mar-2025;03.15;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;46.502
26-Mar-2025;03.10;27-Mar-2025;03.10;19.916,99;0,00;0,00%;19.916,99;19.916,99;19.916,99;76.601
26-Mar-2025;03.05;27-Mar-2025;03.05;19.916,99;-1,09;-0,01%;19.918,08;19.915,80;19.918,08;128.182.860
26-Mar-2025;03.00;27-Mar-2025;03.00;19.918,08;-8,70;-0,04%;19.917,54;19.912,03;19.930,40;19.687.136
26-Mar-2025;02.55;27-Mar-2025;02.55;19.926,78;+9,62;+0,05%;19.917,16;19.915,83;19.934,26;7.377.524
26-Mar-2025;02.50;27-Mar-2025;02.50;19.917,16;+17,76;+0,09%;19.898,62;19.889,12;19.918,21;3.719.036
26-Mar-2025;02.45;27-Mar-2025;02.45;19.899,40;+18,64;+0,09%;19.880,61;19.880,14;19.904,87;3.311.445
26-Mar-2025;02.40;27-Mar-2025;02.40;19.880,76;-0,08;-0,00%;19.880,75;19.872,90;19.884,83;2.579.711
26-Mar-2025;02.35;27-Mar-2025;02.35;19.880,84;+13,68;+0,07%;19.867,55;19.865,12;19.883,79;2.889.842
26-Mar-2025;02.30;27-Mar-2025;02.30;19.867,16;-13,86;-0,07%;19.880,73;19.866,05;19.889,81;2.590.774
26-Mar-2025;02.25;27-Mar-2025;02.25;19.881,02;-8,63;-0,04%;19.889,67;19.881,02;19.902,46;2.358.068
26-Mar-2025;02.20;27-Mar-2025;02.20;19.889,64;+26,23;+0,13%;19.863,24;19.860,12;19.891,73;2.154.867
26-Mar-2025;02.15;27-Mar-2025;02.15;19.863,42;+5,21;+0,03%;19.858,29;19.850,83;19.864,52;1.782.051
26-Mar-2025;02.10;27-Mar-2025;02.10;19.858,20;-15,98;-0,08%;19.874,18;19.848,49;19.874,18;2.243.445
26-Mar-2025;02.05;27-Mar-2025;02.05;19.874,18;+14,97;+0,08%;19.858,96;19.858,96;19.886,60;1.950.856
26-Mar-2025;02.00;27-Mar-2025;02.00;19.859,21;-9,96;-0,05%;19.868,76;19.855,93;19.868,79;1.596.094
26-Mar-2025;01.55;27-Mar-2025;01.55;19.869,17;+2,79;+0,01%;19.866,38;19.860,60;19.871,74;1.505.651
26-Mar-2025;01.50;27-Mar-2025;01.50;19.866,37;-22,97;-0,12%;19.889,30;19.858,65;19.892,54;2.025.554
26-Mar-2025;01.45;27-Mar-2025;01.45;19.889,34;-21,32;-0,11%;19.910,70;19.886,96;19.915,07;1.465.471
26-Mar-2025;01.40;27-Mar-2025;01.40;19.910,66;-10,06;-0,05%;19.920,22;19.910,38;19.922,30;1.276.745
26-Mar-2025;01.35;27-Mar-2025;01.35;19.920,72;-18,97;-0,10%;19.939,45;19.920,25;19.947,92;1.314.137
